"Section","# of tickets (>=0)","Price Range","Type"
"FLOOR","43","$118 - $231","resale"
"FLOOR","24","$125","primary"
"SKYBAR","21","$90 - $113","resale"
"208","8","$178","resale"
"LOG204","6","$295","primary"
"209","6","$89.5","primary"
"FLOOR","4","$209.5","primary"
"210","4","$160","resale"
"209","4","$170","resale"
"206","4","$172","resale"
"LOG204","3","$265","primary"
"LOG201","3","$375","primary"
"210","3","$89.5","primary"
"LOG202","2","$295","primary"
"LOG201","2","$305","primary"
"210","2","$220","resale"
"208","2","$89.5","primary"
"207","2","$208","resale"
"207","2","$201","resale"
"206","2","$195","resale"
"205","2","$256","resale"
"LOG204","1","$99.5","primary"
"LOG202","1","$110","primary"
"206","1","$89.5","primary"
