"Section","# of tickets (>=0)","Price Range","Type"
"FLOOR","76","$104 - $231","resale"
"SKYBAR","15","$92 - $103","resale"
"FLOOR","15","$110","primary"
"208","8","$178","resale"
"LOG204","6","$285","primary"
"209","6","$89.5","primary"
"LOG201","5","$365","primary"
"LOG202","4","$285","primary"
"210","4","$151","resale"
"209","4","$160","resale"
"LOG204","3","$255","primary"
"210","3","$89.5","primary"
"LOG201","2","$295","primary"
"210","2","$220","resale"
"207","2","$208","resale"
"207","2","$201","resale"
"206","2","$195","resale"
"206","2","$151","resale"
"205","2","$307","resale"
"LOG202","1","$110","primary"
"208","1","$89.5","primary"
"206","1","$89.5","primary"
